iter	Passed	Remaining
0	0	56
1	1	53
2	1	49
3	1	46
4	2	45
5	2	45
6	3	44
7	3	43
8	4	42
9	4	43
10	5	42
11	5	41
12	6	40
13	6	40
14	7	40
15	7	40
16	8	39
17	8	38
18	8	37
19	9	37
20	9	36
21	10	36
22	10	36
23	11	35
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	26	21
55	26	20
56	27	20
57	27	19
58	28	19
59	28	19
60	28	18
61	29	17
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	11
77	37	10
78	37	10
79	38	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	42	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	47	1
97	48	0
98	49	0
99	49	0
